"druga","drugb","weight"
"77","2336","4"
"120","1004","2"
"120","990","5"
"144","262","12"
"120","1007","3"
"129","708","3"
"147","172","6"
"144","251","4"
"141","360","5"
"125","840","2"
"144","261","2"
"143","293","3"
"145","251","2"
"147","175","2"
"144","248","11"
"129","753","7"
"140","415","2"
"147","200","5"
"86","2092","2"
"86","2093","2"
"145","267","3"
"149","150","5"
"133","620","5"
"80","2264","2"
"144","243","13"
"65","2760","3"
"133","657","4"
"133","667","2"
"147","235","3"
"147","216","5"
"147","239","3"
"143","366","2"
"143","367","3"
"51","3031","2"
"141","366","2"
"147","248","5"
"144","346","3"
"119","987","3"
"144","349","40"
"140","476","5"
"131","758","3"
"131","754","2"
"131","646","3"
"144","364","2"
"123","896","2"
"144","367","8"
"144","372","30"
"144","164","4"
"141","469","6"
"144","376","6"
"147","241","2"
"143","414","3"
"144","267","19"
"20","4232","2"
"123","1046","2"
"131","800","2"
"144","399","10"
"144","400","4"
"149","248","4"
"149","251","2"
"80","2391","3"
"144","408","4"
"147","317","4"
"133","754","5"
"144","413","5"
"144","414","4"
"143","452","2"
"147","243","3"
"147","335","4"
"141","523","3"
"76","2289","2"
"133","773","5"
"143","469","24"
"150","253","3"
"125","1029","3"
"143","476","3"
"69","2772","2"
"131","721","3"
"96","1943","6"
"147","367","3"
"133","631","3"
"145","431","2"
"144","462","4"
"77","2316","2"
"154","162","2"
"143","462","2"
"131","608","3"
"154","172","2"
"133","828","2"
"149","162","2"
"144","165","4"
"76","2607","2"
"155","156","3"
"155","164","2"
"147","414","6"
"143","540","2"
"147","418","3"
"155","170","4"
"147","420","2"
"129","979","3"
"143","544","2"
"119","1293","3"
"144","519","6"
"135","787","3"
"147","431","2"
"141","267","11"
"154","216","3"
"154","218","2"
"143","558","2"
"156","162","3"
"155","194","2"
"155","195","2"
"138","728","2"
"51","3417","2"
"144","539","3"
"144","518","2"
"155","220","2"
"94","2067","2"
"144","558","4"
"94","2117","2"
"155","227","3"
"147","467","2"
"154","261","2"
"154","217","2"
"144","572","2"
"120","1323","2"
"155","242","3"
"155","243","2"
"155","248","2"
"143","620","3"
"158","159","4"
"155","253","2"
"140","725","12"
"155","261","3"
"150","418","2"
"141","706","7"
"99","1999","2"
"158","181","5"
"150","431","3"
"144","620","11"
"144","621","4"
"139","777","2"
"155","284","2"
"51","3511","2"
"129","1095","3"
"141","725","17"
"144","633","2"
"145","602","2"
"147","544","2"
"133","979","6"
"131","1007","3"
"129","1106","3"
"144","641","2"
"131","1046","4"
"142","706","8"
"147","520","2"
"119","1419","2"
"147","558","5"
"131","1035","3"
"156","216","5"
"147","496","2"
"156","218","2"
"146","493","2"
"142","725","16"
"131","602","2"
"144","602","5"
"155","335","2"
"20","4523","4"
"133","868","3"
"119","1453","2"
"77","2760","4"
"144","685","2"
"144","687","3"
"143","725","6"
"155","349","4"
"143","728","2"
"145","667","3"
"158","267","3"
"144","692","3"
"154","399","4"
"119","1472","3"
"155","376","2"
"154","408","2"
"94","2264","2"
"135","979","4"
"94","2273","2"
"155","372","4"
"155","262","2"
"155","399","4"
"94","2289","2"
"6290","6827","6"
"144","745","3"
"155","408","4"
"31","4243","2"
"144","754","4"
"144","753","5"
"147","519","2"
"131","1141","3"
"155","430","2"
"144","773","7"
"162","218","2"
"133","1104","2"
"144","787","6"
"155","450","4"
"162","239","2"
"144","763","2"
"141","896","2"
"119","1576","2"
"144","800","4"
"143","840","2"
"155","172","2"
"147","722","3"
"162","242","2"
"149","239","2"
"147","692","4"
"142","896","2"
"164","216","4"
"155","498","2"
"154","539","2"
"147","758","3"
"165","191","6"
"147","640","2"
"166","172","3"
"147","774","6"
"165","216","2"
"144","496","4"
"155","531","2"
"144","667","3"
"165","242","2"
"155","558","2"
"165","248","3"
"141","1006","6"
"119","1695","2"
"136","896","2"
"149","773","2"
"156","558","2"
"2067","6827","2"
"147","840","3"
"162","375","2"
"155","605","2"
"144","948","2"
"155","602","2"
"144","940","3"
"133","1294","4"
"2119","5267","2"
"94","2509","2"
"150","773","2"
"149","372","2"
"164","345","2"
"164","349","3"
"147","881","4"
"51","3859","2"
"144","979","10"
"144","980","2"
"134","1294","3"
"170","180","2"
"133","1292","4"
"44","4089","2"
"165","325","2"
"155","657","2"
"99","2392","3"
"144","990","4"
"94","2465","2"
"129","1472","2"
"97","2465","3"
"133","1353","2"
"76","3125","2"
"144","1018","2"
"99","2416","3"
"165","253","2"
"136","412","3"
"165","378","2"
"164","417","2"
"172","173","3"
"145","1012","2"
"147","948","2"
"144","1046","5"
"164","430","2"
"76","3146","2"
"119","1811","2"
"76","3174","3"
"133","1405","2"
"147","878","2"
"145","1046","2"
"133","1421","3"
"147","979","4"
"154","773","2"
"172","218","2"
"172","220","3"
"86","2887","2"
"155","751","3"
"155","753","2"
"77","3174","3"
"172","235","3"
"133","1453","4"
"172","239","2"
"162","558","8"
"155","777","4"
"162","553","2"
"140","1246","2"
"147","1029","2"
"172","267","7"
"144","1144","2"
"165","502","4"
"147","1062","2"
"144","1116","3"
"144","1164","2"
"172","298","2"
"155","829","2"
"172","306","2"
"158","747","18"
"158","749","16"
"142","1246","2"
"136","1433","9"
"172","325","4"
"150","1018","2"
"155","864","2"
"172","248","3"
"144","219","3"
"119","1853","3"
"177","195","2"
"119","1996","4"
"174","282","2"
"144","1135","3"
"123","1880","2"
"144","1231","2"
"172","364","4"
"156","861","7"
"156","865","2"
"164","620","2"
"171","399","2"
"172","378","2"
"173","349","4"
"144","1251","2"
"120","1996","2"
"145","1223","2"
"176","267","4"
"51","4146","2"
"172","399","5"
"162","620","2"
"172","404","3"
"143","1135","3"
"172","408","2"
"165","620","2"
"155","940","2"
"144","1194","3"
"123","1939","3"
"154","979","2"
"51","3313","2"
"164","372","5"
"172","425","2"
"144","1294","5"
"172","430","14"
"162","758","3"
"155","979","4"
"144","1316","3"
"165","662","2"
"179","239","4"
"176","335","3"
"155","987","2"
"164","708","2"
"165","687","2"
"119","2117","2"
"156","987","4"
"176","372","2"
"140","1493","4"
"164","751","2"
"164","753","3"
"174","447","3"
"119","2158","2"
"166","708","2"
"96","2879","2"
"129","1851","2"
"172","520","4"
"141","1493","5"
"141","1494","2"
"165","746","2"
"141","1497","3"
"172","539","2"
"144","1292","4"
"181","267","4"
"165","763","3"
"165","753","2"
"155","218","2"
"144","1421","2"
"176","430","2"
"44","4523","2"
"172","553","3"
"172","558","3"
"179","251","2"
"119","981","2"
"133","1182","2"
"180","335","2"
"184","221","2"
"180","346","2"
"143","1494","2"
"123","2117","2"
"60","1152","3"
"149","620","2"
"164","864","2"
"155","1145","2"
"172","621","2"
"119","2264","2"
"144","1488","2"
"144","1497","7"
"164","868","2"
"143","1497","2"
"175","544","2"
"119","2288","2"
"174","590","3"
"186","217","4"
"172","656","2"
"186","218","11"
"180","418","2"
"119","2293","2"
"98","2948","5"
"143","1576","3"
"186","216","11"
"147","1453","2"
"162","992","2"
"165","895","2"
"186","238","6"
"186","261","5"
"133","1785","3"
"162","979","2"
"179","485","2"
"96","1884","5"
"187","243","2"
"94","3125","2"
"172","667","2"
"99","2986","3"
"147","1316","2"
"181","444","10"
"91","3224","2"
"179","520","4"
"179","521","2"
"133","1949","2"
"176","620","2"
"172","753","4"
"165","956","2"
"20","5468","2"
"181","479","3"
"172","708","2"
"149","774","4"
"129","774","2"
"165","940","5"
"147","1546","2"
"165","990","3"
"191","196","7"
"191","200","9"
"131","2067","2"
"186","349","2"
"186","366","4"
"186","373","5"
"191","220","3"
"119","2465","3"
"144","1695","2"
"191","239","8"
"162","399","2"
"191","243","3"
"155","1361","2"
"126","2264","2"
"172","840","2"
"191","253","3"
"84","3570","2"
"147","495","2"
"186","415","4"
"144","1721","2"
"191","268","5"
"191","269","12"
"144","1729","5"
"191","282","2"
"191","284","2"
"20","5588","2"
"170","943","2"
"191","294","4"
"177","725","2"
"96","3233","2"
"145","1721","4"
"133","774","2"
"174","840","8"
"68","896","3"
"136","2029","2"
"147","1694","2"
"195","218","2"
"129","2267","3"
"179","418","3"
"147","630","2"
"176","608","4"
"196","200","3"
"147","1720","2"
"176","777","2"
"145","1790","2"
"191","365","10"
"136","2044","2"
"155","1497","2"
"144","1785","4"
"186","540","4"
"195","261","2"
"77","608","4"
"144","1853","4"
"186","539","10"
"4243","5755","2"
"144","1861","2"
"191","405","2"
"144","1862","4"
"191","410","3"
"195","279","3"
"129","2336","6"
"195","293","2"
"191","418","5"
"191","421","4"
"196","268","6"
"143","1902","2"
"155","1276","3"
"1785","16494","2"
"172","1030","2"
"162","165","2"
"192","412","3"
"191","449","2"
"143","1939","3"
"131","2316","3"
"144","1918","2"
"133","2264","3"
"123","1853","3"
"165","1293","3"
"133","2289","2"
"144","1949","3"
"195","368","6"
"153","1674","2"
"174","1024","3"
"147","1862","3"
"165","1305","3"
"194","408","2"
"191","502","2"
"187","627","2"
"172","1095","4"
"191","508","2"
"2130","5935","2"
"191","510","16"
"172","1106","2"
"141","2077","4"
"119","2760","2"
"191","534","3"
"195","414","3"
"144","1996","2"
"68","2760","5"
"200","267","2"
"200","268","2"
"98","193","3"
"191","556","3"
"2163","4961","2"
"144","2022","3"
"96","3511","3"
"98","129","2"
"176","253","2"
"125","269","3"
"200","293","3"
"176","787","2"
"136","1421","2"
"176","482","2"
"202","239","2"
"82","239","2"
"180","943","14"
"165","1393","4"
"179","987","7"
"144","2059","6"
"179","990","2"
"131","1497","2"
"200","349","2"
"94","558","4"
"131","147","7"
"147","1999","2"
"144","608","2"
"123","1421","2"
"186","801","3"
"200","367","3"
"200","372","4"
"68","464","2"
"191","657","3"
"144","2117","2"
"191","667","3"
"150","1939","3"
"196","519","3"
"172","1264","3"
"144","2131","2"
"191","687","4"
"77","131","3"
"51","5040","2"
"202","364","2"
"80","4146","2"
"133","2471","2"
"119","990","2"
"129","1316","2"
"191","721","3"
"136","1647","2"
"133","926","3"
"123","753","2"
"205","293","2"
"51","3473","2"
"156","1820","4"
"99","3589","2"
"200","462","2"
"184","959","2"
"202","418","2"
"51","5103","4"
"8401","8406","2"
"8401","8407","2"
"133","621","2"
"144","2213","2"
"162","1682","2"
"87","2833","2"
"195","667","3"
"154","1939","2"
"200","399","2"
"200","534","4"
"8402","8407","2"
"131","2673","3"
"200","520","3"
"8402","8406","2"
"8403","8407","2"
"164","1674","2"
"180","1179","2"
"8403","8406","2"
"179","1213","7"
"144","2289","6"
"144","2288","2"
"205","414","2"
"195","725","2"
"195","728","3"
"102","2833","2"
"106","3493","2"
"51","5200","2"
"8404","8406","2"
"8404","8407","2"
"133","2656","2"
"125","218","2"
"144","2336","4"
"126","414","2"
"154","2022","3"
"176","1353","2"
"136","1820","4"
"8405","8406","2"
"8405","8407","2"
"200","620","4"
"141","2455","2"
"200","630","2"
"129","133","6"
"126","1103","2"
"200","640","2"
"108","3493","2"
"191","921","8"
"96","869","3"
"8406","8407","4"
"135","777","2"
"126","2087","2"
"142","2455","2"
"147","926","2"
"186","1096","7"
"213","267","2"
"119","3184","3"
"76","1820","3"
"194","864","2"
"202","628","2"
"191","974","3"
"176","1141","2"
"2","6827","2"
"119","3214","2"
"191","988","2"
"76","4556","2"
"216","218","56"
"216","217","8"
"195","869","2"
"125","3036","2"
"136","2700","2"
"191","990","2"
"191","1007","24"
"186","1152","5"
"216","238","16"
"187","1145","2"
"217","218","7"
"216","248","9"
"216","253","2"
"216","251","4"
"200","753","2"
"216","261","14"
"216","262","4"
"216","263","2"
"94","1046","2"
"217","238","10"
"162","1945","2"
"205","620","3"
"213","372","2"
"191","1062","3"
"180","1405","2"
"217","261","5"
"195","943","2"
"212","418","2"
"164","1910","2"
"218","238","8"
"94","608","2"
"154","2235","2"
"147","1419","5"
"165","1853","2"
"218","261","11"
"191","1103","2"
"150","550","2"
"218","267","7"
"216","326","6"
"80","4555","2"
"80","4556","2"
"216","345","4"
"216","346","5"
"219","248","2"
"144","2087","2"
"195","990","3"
"220","235","3"
"219","267","3"
"176","425","2"
"220","239","2"
"133","1046","2"
"158","2163","2"
"216","366","15"
"216","373","15"
"162","2044","2"
"2267","2336","2"
"6","6881","2"
"217","366","6"
"144","2631","2"
"154","1729","4"
"217","373","5"
"220","284","3"
"147","2087","2"
"216","408","5"
"216","415","9"
"216","417","2"
"220","294","3"
"80","4638","3"
"200","921","3"
"218","366","9"
"216","430","3"
"119","3434","3"
"218","373","8"
"220","325","3"
"216","452","2"
"200","944","2"
"94","4232","2"
"218","399","2"
"216","462","3"
"219","372","4"
"218","408","2"
"191","1248","3"
"224","227","5"
"129","3174","3"
"218","415","4"
"186","1410","9"
"94","777","2"
"191","1262","4"
"220","364","3"
"218","431","3"
"191","1269","2"
"94","4275","2"
"224","256","3"
"224","231","3"
"220","378","3"
"212","641","2"
"216","519","3"
"224","269","2"
"144","1103","2"
"221","375","2"
"218","469","8"
"126","840","2"
"216","539","18"
"144","2772","2"
"216","540","11"
"218","476","2"
"191","1320","8"
"220","430","5"
"216","558","6"
"216","559","2"
"191","1337","5"
"217","540","3"
"220","449","2"
"216","573","6"
"217","539","6"
"227","241","2"
"227","242","2"
"89","4500","2"
"133","3146","2"
"195","1246","2"
"227","255","2"
"227","256","3"
"195","1250","2"
"218","539","12"
"227","261","2"
"218","540","8"
"205","943","2"
"227","269","2"
"144","1419","4"
"119","1141","3"
"131","773","2"
"144","840","2"
"216","628","2"
"76","2833","2"
"51","3987","2"
"216","640","4"
"147","773","3"
"81","650","2"
"213","745","2"
"30","4144","2"
"94","3620","2"
"218","615","2"
"218","617","3"
"98","774","2"
"225","408","3"
"220","563","2"
"216","692","6"
"172","2067","2"
"141","956","3"
"164","2289","2"
"224","469","5"
"77","176","2"
"186","1649","5"
"216","721","3"
"216","716","2"
"200","1231","3"
"136","218","8"
"60","631","2"
"147","607","2"
"20","6827","4"
"216","753","3"
"225","475","3"
"126","144","4"
"216","758","3"
"64","620","2"
"131","620","4"
"94","1141","2"
"94","176","3"
"60","1231","4"
"218","706","9"
"129","3473","2"
"220","657","2"
"218","725","4"
"123","1785","2"
"224","547","2"
"68","631","2"
"133","1231","4"
"225","528","2"
"216","810","2"
"227","469","4"
"133","147","5"
"131","372","8"
"64","2760","2"
"200","1320","2"
"230","399","3"
"218","773","2"
"224","605","2"
"195","1506","3"
"165","2419","2"
"220","620","3"
"216","869","2"
"125","1800","2"
"227","531","2"
"220","753","4"
"129","495","2"
"68","5468","2"
"235","293","2"
"227","547","2"
"227","553","2"
"136","141","7"
"172","2267","2"
"94","4690","2"
"119","267","6"
"147","1103","3"
"216","890","2"
"131","926","2"
"129","131","5"
"2286","2288","2"
"218","869","2"
"231","469","3"
"94","1231","3"
"227","605","4"
"144","3174","3"
"238","261","4"
"155","2843","2"
"235","364","2"
"235","367","2"
"239","248","2"
"239","251","2"
"144","987","2"
"235","378","4"
"172","2336","4"
"119","1497","3"
"216","987","2"
"216","990","2"
"136","2694","3"
"28","6827","3"
"235","414","2"
"129","2536","3"
"86","5048","2"
"235","430","4"
"108","4368","2"
"224","773","2"
"224","779","2"
"176","728","2"
"147","3174","3"
"241","261","2"
"239","325","2"
"230","607","2"
"2","5122","2"
"224","787","2"
"225","770","6"
"242","253","4"
"238","373","8"
"191","1841","5"
"242","267","2"
"239","364","4"
"243","248","4"
"243","253","2"
"216","1096","26"
"126","147","4"
"123","3987","2"
"216","1116","2"
"242","312","2"
"243","284","2"
"165","751","2"
"192","1804","5"
"217","1096","13"
"76","5468","3"
"239","418","5"
"239","421","3"
"221","979","3"
"1811","17227","2"
"223","924","5"
"216","1143","2"
"216","1145","3"
"51","1112","2"
"245","253","2"
"216","1152","17"
"33","6827","3"
"218","1096","19"
"218","1097","3"
"216","1135","3"
"216","1164","2"
"144","550","2"
"131","156","2"
"125","2293","2"
"242","378","2"
"243","349","13"
"145","2067","2"
"239","482","3"
"60","6032","2"
"235","608","3"
"243","364","2"
"91","5077","2"
"225","924","3"
"242","399","2"
"131","520","3"
"242","401","2"
"218","1152","10"
"239","502","3"
"99","4842","3"
"238","539","9"
"239","510","3"
"147","3362","2"
"238","540","9"
"119","4243","4"
"124","4089","2"
"248","253","6"
"243","418","2"
"235","656","2"
"239","520","2"
"242","453","2"
"123","4148","2"
"239","556","2"
"220","1145","2"
"248","283","3"
"239","573","2"
"200","1793","2"
"36","6889","2"
"141","2694","2"
"191","2092","3"
"191","2093","2"
"239","491","2"
"246","399","2"
"235","753","2"
"144","3570","7"
"200","1853","2"
"248","367","2"
"248","372","2"
"239","628","3"
"248","357","3"
"242","563","2"
"239","667","2"
"241","605","2"
"10356","14670","2"
"248","349","2"
"248","402","2"
"219","1135","3"
"248","408","2"
"241","630","2"
"216","1410","21"
"239","692","2"
"242","609","2"
"253","284","3"
"251","349","2"
"248","447","2"
"216","1442","2"
"217","1410","10"
"200","1943","4"
"224","1204","2"
"251","372","3"
"255","256","2"
"2293","2614","4"
"218","1410","3"
"243","641","2"
"191","2258","4"
"147","3473","2"
"253","335","2"
"254","312","4"
"249","469","2"
"243","657","3"
"218","1433","7"
"242","685","2"
"140","3855","2"
"216","1502","2"
"133","4090","2"
"20737","20739","3"
"248","528","3"
"81","777","2"
"253","399","3"
"248","558","3"
"253","405","2"
"253","413","2"
"248","573","3"
"99","5200","4"
"133","4146","4"
"251","482","2"
"242","777","2"
"242","787","2"
"248","564","4"
"155","3493","2"
"243","767","2"
"144","3750","2"
"227","1270","2"
"243","773","3"
"4243","7857","2"
"248","628","2"
"144","3859","2"
"253","482","2"
"200","2131","2"
"248","646","6"
"235","1054","2"
"248","657","3"
"216","1649","11"
"245","754","2"
"144","145","3"
"248","667","3"
"253","502","2"
"243","597","2"
"224","1421","2"
"124","4523","2"
"254","495","4"
"216","1674","4"
"20739","20744","3"
"222","1490","3"
"144","751","2"
"217","1649","8"
"165","3263","2"
"248","692","3"
"251","602","2"
"158","3487","9"
"147","2562","2"
"251","620","2"
"239","990","2"
"256","469","3"
"218","1649","8"
"51","6830","2"
"253","569","10"
"253","572","2"
"239","1007","2"
"192","2465","3"
"133","558","5"
"262","267","4"
"200","2213","2"
"227","1395","2"
"227","1396","3"
"86","5775","4"
"248","758","2"
"242","952","2"
"248","767","2"
"261","366","7"
"174","3065","3"
"195","2416","2"
"248","774","2"
"6384","7166","2"
"261","373","6"
"225","1490","4"
"248","773","6"
"238","1096","16"
"51","6894","3"
"248","787","3"
"242","940","2"
"242","979","3"
"218","1729","5"
"262","367","2"
"262","372","5"
"262","376","4"
"253","657","2"
"6290","10119","2"
"261","415","2"
"255","605","2"
"243","981","3"
"200","2288","3"
"262","399","6"
"264","349","4"
"243","1002","2"
"251","758","2"
"238","1152","9"
"256","605","2"
"266","303","3"
"216","1862","2"
"251","754","2"
"267","293","2"
"200","2336","3"
"130","4525","2"
"221","1728","2"
"243","1046","2"
"216","1884","3"
"253","602","2"
"267","325","11"
"176","3146","2"
"1785","18655","2"
"1785","18656","2"
"156","372","4"
"267","335","4"
"172","282","2"
"224","1610","2"
"267","349","5"
"253","787","14"
"261","540","4"
"269","295","3"
"239","1225","2"
"216","1943","4"
"261","539","9"
"264","462","2"
"267","372","55"
"267","367","3"
"253","777","2"
"73","6405","2"
"239","1269","2"
"243","1145","2"
"262","558","2"
"248","990","2"
"216","1987","2"
"248","981","2"
"266","444","8"
"261","605","2"
"218","1939","7"
"218","1943","4"
"267","430","3"
"225","1482","7"
"241","990","3"
"20743","20744","3"
"267","444","2"
"268","418","2"
"20740","20743","9"
"145","4243","2"
"267","462","2"
"239","1337","2"
"253","905","2"
"267","473","3"
"269","419","3"
"150","4121","2"
"1785","18657","2"
"1785","18658","2"
"238","1410","13"
"262","667","2"
"248","1103","3"
"144","1088","3"
"131","267","7"
"267","523","3"
"248","1116","2"
"191","2887","3"
"242","1305","2"
"269","469","2"
"216","2117","4"
"239","1405","2"
"264","629","4"
"224","1877","2"
"200","2631","2"
"81","216","2"
"253","990","2"
"119","1054","2"
"267","563","3"
"20555","20556","2"
"269","506","3"
"269","507","43"
"269","508","47"
"269","509","2"
"269","510","212"
"253","1007","3"
"242","1353","2"
"253","1004","2"
"119","120","5"
"174","3453","3"
"64","553","4"
"6376","7830","3"
"6376","7831","2"
"20741","20743","3"
"136","840","2"
"147","325","3"
"253","1046","3"
"267","608","9"
"242","1393","2"
"267","620","22"
"97","5890","2"
"267","621","2"
"141","4125","7"
"2119","8759","2"
"2119","8760","2"
"2119","8761","4"
"90","133","2"
"213","2316","2"
"69","462","3"
"98","2067","2"
"267","657","2"
"264","755","2"
"267","667","3"
"2059","6827","4"
"165","987","2"
"73","136","5"
"256","1020","2"
"81","242","2"
"60","2833","2"
"98","267","3"
"76","408","2"
"145","1405","2"
"267","706","5"
"253","1141","2"
"253","1145","2"
"269","650","2"
"267","712","2"
"218","2240","3"
"253","1164","2"
"235","1729","2"
"20736","20739","3"
"20736","20740","3"
"279","368","2"
"267","745","9"
"267","725","4"
"264","840","3"
"223","1482","5"
"238","1649","9"
"195","2986","2"
"267","753","6"
"248","1348","3"
"248","1361","2"
"20737","20743","3"
"224","2108","2"
"133","1103","2"
"239","1648","2"
"20736","20743","3"
"20739","20740","9"
"73","144","2"
"267","800","2"
"81","2833","2"
"221","2238","2"
"282","349","3"
"253","1251","2"
"98","1208","2"
"262","979","5"
"20740","20744","3"
"264","921","2"
"65","990","4"
"20739","20742","3"
"251","1353","2"
"227","2108","2"
"267","868","2"
"220","2336","2"
"98","667","2"
"253","1323","2"
"40","1145","3"
"164","4089","2"
"155","4370","2"
"131","558","4"
"76","6827","6"
"287","291","2"
"261","1097","3"
"261","1096","10"
"85","349","2"
"2273","4275","2"
"141","1433","5"
"218","2455","4"
"267","943","4"
"218","2468","4"
"242","1729","3"
"166","4089","2"
"267","956","7"
"126","1419","2"
"144","1208","2"
"125","620","3"
"8481","8482","2"
"165","1721","2"
"266","1006","7"
"2119","2547","3"
"267","979","3"
"76","346","2"
"261","1152","4"
"253","1420","2"
"154","751","2"
"20740","20742","3"
"267","999","6"
"186","3511","4"
"235","773","3"
"20738","20739","3"
"268","987","2"
"76","156","8"
"269","974","4"
"262","1194","2"
"264","1141","2"
"264","1142","2"
"264","1143","2"
"256","1395","3"
"269","987","4"
"291","321","2"
"243","1811","3"
"256","1413","4"
"256","1414","2"
"256","1415","2"
"256","1416","2"
"282","620","2"
"267","1088","3"
"20739","20741","3"
"136","4125","4"
"186","3612","2"
"123","1918","2"
"76","1145","2"
"267","1112","6"
"131","1145","2"
"144","926","2"
"49","989","2"
"262","1294","4"
"248","1729","3"
"133","3343","2"
"267","1145","2"
"20738","20740","3"
"143","1433","8"
"294","325","2"
"140","5103","4"
"262","1316","3"
"222","223","3"
"218","2694","3"
"147","4898","2"
"267","930","3"
"284","657","2"
"77","1194","2"
"129","520","3"
"293","372","2"
"267","1194","2"
"99","6405","4"
"141","5103","4"
"294","364","3"
"224","2535","2"
"267","1208","6"
"222","1482","10"
"293","414","3"
"248","1811","2"
"261","1410","8"
"253","1669","2"
"294","399","2"
"216","2825","3"
"267","1251","2"
"216","2833","2"
"49","990","4"
"2077","4125","3"
"140","5200","2"
"248","1862","4"
"65","989","2"
"172","990","4"
"293","482","2"
"141","5200","2"
"291","553","2"
"165","4457","4"
"76","7225","3"
"76","7226","2"
"282","840","3"
"284","787","2"
"267","1294","4"
"253","1729","2"
"142","5200","2"
"298","364","2"
"287","708","2"
"119","5918","2"
"164","4523","2"
"77","7225","3"
"77","7226","2"
"181","266","7"
"235","2336","2"
"267","270","3"
"218","2872","4"
"267","1353","2"
"282","829","2"
"282","896","3"
"295","507","3"
"295","508","3"
"298","430","4"
"166","4523","2"
"224","2732","3"
"269","1337","5"
"31","2833","2"
"293","599","2"
"267","1405","2"
"230","2547","3"
"147","573","2"
"85","154","2"
"20740","20741","3"
"145","550","2"
"147","680","2"
"293","620","3"
"2276","4697","3"
"51","1000","2"
"51","763","2"
"291","708","2"
"222","225","2"
"216","763","2"
"2338","2796","2"
"261","1649","5"
"94","6827","2"
"20738","20743","3"
"227","2710","3"
"69","7612","2"
"120","1472","2"
"248","2067","3"
"267","1497","16"
"80","7296","2"
"80","7297","2"
"227","2732","2"
"291","753","3"
"227","2727","2"
"218","3031","2"
"306","312","2"
"293","728","2"
"294","708","2"
"200","1674","2"
"253","1996","2"
"242","2338","2"
"14447","20737","3"
"14447","20738","3"
"14447","20736","3"
"14447","20740","9"
"14447","20741","3"
"14447","20739","9"
"14447","20743","9"
"306","364","2"
"227","2815","2"
"119","1800","2"
"14447","20742","3"
"294","753","2"
"96","6894","7"
"267","746","2"
"14447","20744","3"
"305","416","2"
"262","1785","2"
"216","3214","2"
"253","2067","2"
"306","430","4"
"20742","20743","3"
"253","2083","4"
"144","5468","2"
"125","172","4"
"144","2067","3"
"211","399","2"
"216","476","6"
"141","1112","7"
"284","1145","2"
"248","2264","2"
"172","1785","4"
"98","144","2"
"168","2808","2"
"222","1318","2"
"147","364","2"
"261","1884","2"
"98","270","2"
"2","9929","2"
"298","753","2"
"144","380","3"
"125","136","5"
"248","2327","2"
"69","620","3"
"224","3076","2"
"267","1745","4"
"6396","8356","2"
"216","3326","2"
"303","633","2"
"293","943","2"
"224","3081","2"
"64","1145","4"
"98","558","2"
"2338","3108","2"
"216","2132","2"
"2208","3824","2"
"267","558","4"
"267","1785","9"
"303","671","2"
"144","2293","2"
"267","1803","5"
"98","2293","2"
"64","7455","2"
"312","453","2"
"267","1853","3"
"303","725","5"
"64","891","3"
"303","747","2"
"303","749","2"
"267","1789","2"
"144","221","2"
"269","1813","3"
"248","2465","2"
"51","2132","2"
"242","2656","2"
"143","267","2"
"80","1579","2"
"248","2479","2"
"267","1875","2"
"262","2059","2"
"20739","20743","9"
"147","779","2"
"306","702","2"
"51","990","2"
"220","1305","2"
"64","596","2"
"216","3511","3"
"64","223","2"
"123","6396","2"
"294","1103","2"
"133","1729","2"
"246","2607","2"
"306","753","2"
"20737","20740","3"
"98","990","2"
"267","1305","3"
"1736","14100","2"
"51","930","2"
"143","372","2"
"267","1996","2"
"64","417","2"
"312","609","2"
"64","1040","2"
"64","924","2"
"242","2796","2"
"144","270","2"
"267","748","2"
"76","566","3"
"168","725","5"
"73","293","3"
"176","200","3"
"293","1231","2"
"267","2067","4"
"303","959","5"
"168","959","5"
"46","1790","2"
"158","608","2"
"64","753","3"
"144","335","2"
"294","1251","2"
"60","633","2"
"64","635","2"
"131","317","2"
"253","2489","2"
"51","1421","2"
"60","1147","2"
"147","268","2"
"303","1006","6"
"76","2479","2"
"267","2131","2"
"325","335","11"
"222","1319","4"
"291","1408","2"
"323","419","2"
"224","3493","2"
"325","364","4"
"325","378","2"
"235","3174","3"
"51","1260","3"
"327","335","2"
"86","7808","2"
"154","5703","2"
"227","3445","2"
"227","3447","2"
"267","2213","2"
"64","881","2"
"325","418","3"
"323","485","2"
"325","425","2"
"293","1419","2"
"325","430","4"
"64","774","2"
"64","779","2"
"64","147","2"
"227","3493","4"
"131","493","2"
"80","569","2"
"267","2276","6"
"293","1472","2"
"168","303","6"
"267","2288","2"
"267","2289","5"
"180","4990","2"
"267","2293","4"
"51","608","4"
"267","2311","3"
"267","2316","3"
"64","364","5"
"242","3108","2"
"267","2336","4"
"218","3859","2"
"180","5040","2"
"312","952","2"
"326","519","2"
"99","7560","3"
"99","7561","3"
"99","7562","3"
"332","342","2"
"325","558","2"
"267","1035","2"
"60","399","4"
"221","561","4"
"325","573","3"
"172","1497","3"
"293","1576","2"
"256","2727","2"
"324","630","2"
"312","1004","2"
"312","1007","2"
"324","640","2"
"325","564","3"
"176","399","2"
"243","3174","5"
"267","2157","2"
"325","608","6"
"64","6386","2"
"73","200","2"
"51","9136","2"
"162","5703","2"
"335","349","2"
"267","2471","2"
"64","767","2"
"131","251","5"
