term,tree,l1,l2,l3,l4,l5,l6,l7
Peste-des-petits-ruminants virus,B04.909.777.455.600.650.500.650,B04,909,777,455,600,650,500
Rinderpest virus,B04.909.777.455.600.650.500.675,B04,909,777,455,600,650,500
Respirovirus,B04.909.777.455.600.650.700,B04,909,777,455,600,650,700
"Parainfluenza Virus 3, Bovine",B04.909.777.455.600.650.700.700,B04,909,777,455,600,650,700
"Parainfluenza Virus 1, Human",B04.909.777.455.600.650.700.715,B04,909,777,455,600,650,700
"Parainfluenza Virus 3, Human",B04.909.777.455.600.650.700.735,B04,909,777,455,600,650,700
Sendai virus,B04.909.777.455.600.650.700.800,B04,909,777,455,600,650,700
Rubulavirus,B04.909.777.455.600.650.750,B04,909,777,455,600,650,750
Mumps virus,B04.909.777.455.600.650.750.550,B04,909,777,455,600,650,750
"Parainfluenza Virus 2, Human",B04.909.777.455.600.650.750.715,B04,909,777,455,600,650,750
"Parainfluenza Virus 4, Human",B04.909.777.455.600.650.750.717,B04,909,777,455,600,650,750
Parainfluenza Virus 5,B04.909.777.455.600.650.750.800,B04,909,777,455,600,650,750
Pneumovirinae,B04.909.777.455.600.670,B04,909,777,455,600,670,
Pneumovirus,B04.909.777.455.600.670.600,B04,909,777,455,600,670,600
Respiratory Syncytial Viruses,B04.909.777.455.600.670.600.750,B04,909,777,455,600,670,600
"Respiratory Syncytial Virus, Bovine",B04.909.777.455.600.670.600.750.700,B04,909,777,455,600,670,600
"Respiratory Syncytial Virus, Human",B04.909.777.455.600.670.600.750.730,B04,909,777,455,600,670,600
Rhabdoviridae,B04.909.777.455.750,B04,909,777,455,750,,
Ephemerovirus,B04.909.777.455.750.250,B04,909,777,455,750,250,
"Ephemeral Fever Virus, Bovine",B04.909.777.455.750.250.200,B04,909,777,455,750,250,200
Lyssavirus,B04.909.777.455.750.500,B04,909,777,455,750,500,
Rabies virus,B04.909.777.455.750.500.700,B04,909,777,455,750,500,700
Novirhabdovirus,B04.909.777.455.750.600,B04,909,777,455,750,600,
Infectious hematopoietic necrosis virus,B04.909.777.455.750.600.400,B04,909,777,455,750,600,400
Vesiculovirus,B04.909.777.455.750.900,B04,909,777,455,750,900,
Vesicular stomatitis Indiana virus,B04.909.777.455.750.900.900,B04,909,777,455,750,900,900
Vesicular stomatitis New Jersey virus,B04.909.777.455.750.900.910,B04,909,777,455,750,900,910
Nidovirales,B04.909.777.500,B04,909,777,500,,,
Arteriviridae,B04.909.777.500.080,B04,909,777,500,80,,
Arterivirus,B04.909.777.500.080.500,B04,909,777,500,80,500,
"Arteritis Virus, Equine",B04.909.777.500.080.500.100,B04,909,777,500,80,500,100
Lactate dehydrogenase-elevating virus,B04.909.777.500.080.500.500,B04,909,777,500,80,500,500
Porcine respiratory and reproductive syndrome virus,B04.909.777.500.080.500.800,B04,909,777,500,80,500,800
Coronaviridae,B04.909.777.500.540,B04,909,777,500,540,,
Coronavirus,B04.909.777.500.540.150,B04,909,777,500,540,150,
"Coronavirus, Bovine",B04.909.777.500.540.150.150,B04,909,777,500,540,150,150
"Coronavirus, Canine",B04.909.777.500.540.150.160,B04,909,777,500,540,150,160
"Coronavirus, Feline",B04.909.777.500.540.150.190,B04,909,777,500,540,150,190
"Coronavirus 229E, Human",B04.909.777.500.540.150.210,B04,909,777,500,540,150,210
"Coronavirus NL63, Human",B04.909.777.500.540.150.215,B04,909,777,500,540,150,215
"Coronavirus OC43, Human",B04.909.777.500.540.150.220,B04,909,777,500,540,150,220
"Coronavirus, Rat",B04.909.777.500.540.150.260,B04,909,777,500,540,150,260
"Coronavirus, Turkey",B04.909.777.500.540.150.300,B04,909,777,500,540,150,300
Infectious bronchitis virus,B04.909.777.500.540.150.500,B04,909,777,500,540,150,500
Murine hepatitis virus,B04.909.777.500.540.150.580,B04,909,777,500,540,150,580
Porcine epidemic diarrhea virus,B04.909.777.500.540.150.665,B04,909,777,500,540,150,665
SARS Virus,B04.909.777.500.540.150.750,B04,909,777,500,540,150,750
Transmissible gastroenteritis virus,B04.909.777.500.540.150.800,B04,909,777,500,540,150,800
Porcine Respiratory Coronavirus,B04.909.777.500.540.150.800.600,B04,909,777,500,540,150,800
Torovirus,B04.909.777.500.540.800,B04,909,777,500,540,800,
Orthomyxoviridae,B04.909.777.545,B04,909,777,545,,,
Influenzavirus A,B04.909.777.545.405,B04,909,777,545,405,,
Influenza A virus,B04.909.777.545.405.400,B04,909,777,545,405,400,
"Influenza A Virus, H1N1 Subtype",B04.909.777.545.405.400.214,B04,909,777,545,405,400,214
"Influenza A Virus, H2N2 Subtype",B04.909.777.545.405.400.250,B04,909,777,545,405,400,250
"Influenza A Virus, H3N2 Subtype",B04.909.777.545.405.400.300,B04,909,777,545,405,400,300
"Influenza A Virus, H3N8 Subtype",B04.909.777.545.405.400.350,B04,909,777,545,405,400,350
"Influenza A Virus, H5N1 Subtype",B04.909.777.545.405.400.500,B04,909,777,545,405,400,500
"Influenza A Virus, H5N2 Subtype",B04.909.777.545.405.400.505,B04,909,777,545,405,400,505
"Influenza A Virus, H7N1 Subtype",B04.909.777.545.405.400.690,B04,909,777,545,405,400,690
"Influenza A Virus, H7N2 Subtype",B04.909.777.545.405.400.692,B04,909,777,545,405,400,692
"Influenza A Virus, H7N3 Subtype",B04.909.777.545.405.400.694,B04,909,777,545,405,400,694
"Influenza A Virus, H7N7 Subtype",B04.909.777.545.405.400.700,B04,909,777,545,405,400,700
"Influenza A Virus, H7N9 Subtype",B04.909.777.545.405.400.800,B04,909,777,545,405,400,800
"Influenza A Virus, H9N2 Subtype",B04.909.777.545.405.400.900,B04,909,777,545,405,400,900
"Influenza A Virus, H10N7 Subtype",B04.909.777.545.405.400.920,B04,909,777,545,405,400,920
Influenzavirus B,B04.909.777.545.407,B04,909,777,545,407,,
Influenza B virus,B04.909.777.545.407.410,B04,909,777,545,407,410,
Influenzavirus C,B04.909.777.545.410,B04,909,777,545,410,,
Thogotovirus,B04.909.777.545.850,B04,909,777,545,850,,
Picobirnavirus,B04.909.777.610,B04,909,777,610,,,
Picornaviridae,B04.909.777.618,B04,909,777,618,,,
Aphthovirus,B04.909.777.618.070,B04,909,777,618,70,,
Foot-and-Mouth Disease Virus,B04.909.777.618.070.250,B04,909,777,618,70,250,
Cardiovirus,B04.909.777.618.170,B04,909,777,618,170,,
Encephalomyocarditis virus,B04.909.777.618.170.200,B04,909,777,618,170,200,
Columbia SK virus,B04.909.777.618.170.200.150,B04,909,777,618,170,200,150
Maus Elberfeld virus,B04.909.777.618.170.200.480,B04,909,777,618,170,200,480
Mengovirus,B04.909.777.618.170.200.500,B04,909,777,618,170,200,500
Theilovirus,B04.909.777.618.170.800,B04,909,777,618,170,800,
Enterovirus,B04.909.777.618.284,B04,909,777,618,284,,
"Enterovirus A, Human",B04.909.777.618.284.180,B04,909,777,618,284,180,
"Enterovirus B, Human",B04.909.777.618.284.182,B04,909,777,618,284,182,
"Echovirus 6, Human",B04.909.777.618.284.182.225,B04,909,777,618,284,182,225
Echovirus 9,B04.909.777.618.284.182.250,B04,909,777,618,284,182,250
"Enterovirus C, Human",B04.909.777.618.284.184,B04,909,777,618,284,184,
"Enterovirus D, Human",B04.909.777.618.284.188,B04,909,777,618,284,188,
"Enterovirus, Bovine",B04.909.777.618.284.200,B04,909,777,618,284,200,
"Enteroviruses, Porcine",B04.909.777.618.284.600,B04,909,777,618,284,600,
Poliovirus,B04.909.777.618.284.689,B04,909,777,618,284,689,
Erbovirus,B04.909.777.618.290,B04,909,777,618,290,,
"Hepatitis Virus, Duck",B04.909.777.618.342,B04,909,777,618,342,,
Hepatovirus,B04.909.777.618.400,B04,909,777,618,400,,
"Encephalomyelitis Virus, Avian",B04.909.777.618.400.250,B04,909,777,618,400,250,
Hepatitis A virus,B04.909.777.618.400.410,B04,909,777,618,400,410,
"Hepatitis A Virus, Human",B04.909.777.618.400.410.500,B04,909,777,618,400,410,500
Kobuvirus,B04.909.777.618.500,B04,909,777,618,500,,
Parechovirus,B04.909.777.618.700,B04,909,777,618,700,,
Rhinovirus,B04.909.777.618.775,B04,909,777,618,775,,
Teschovirus,B04.909.777.618.830,B04,909,777,618,830,,
Reoviridae,B04.909.777.714,B04,909,777,714,,,
Coltivirus,B04.909.777.714.160,B04,909,777,714,160,,
Colorado tick fever virus,B04.909.777.714.160.200,B04,909,777,714,160,200,
Orbivirus,B04.909.777.714.550,B04,909,777,714,550,,
African horse sickness virus,B04.909.777.714.550.050,B04,909,777,714,550,50,
Bluetongue virus,B04.909.777.714.550.100,B04,909,777,714,550,100,
"Hemorrhagic Disease Virus, Epizootic",B04.909.777.714.550.400,B04,909,777,714,550,400,
Palyam Virus,B04.909.777.714.550.750,B04,909,777,714,550,750,
Orthoreovirus,B04.909.777.714.590,B04,909,777,714,590,,
"Orthoreovirus, Avian",B04.909.777.714.590.500,B04,909,777,714,590,500,
"Orthoreovirus, Mammalian",B04.909.777.714.590.550,B04,909,777,714,590,550,
Mammalian orthoreovirus 3,B04.909.777.714.590.550.700,B04,909,777,714,590,550,700
Rotavirus,B04.909.777.714.790,B04,909,777,714,790,,
Retroviridae,B04.909.777.731,B04,909,777,731,,,
Alpharetrovirus,B04.909.777.731.070,B04,909,777,731,70,,
Avian leukosis virus,B04.909.777.731.070.100,B04,909,777,731,70,100,
Avian myeloblastosis virus,B04.909.777.731.070.110,B04,909,777,731,70,110,
Avian Sarcoma Viruses,B04.909.777.731.070.120,B04,909,777,731,70,120,
Rous sarcoma virus,B04.909.777.731.070.120.700,B04,909,777,731,70,120,700
Betaretrovirus,B04.909.777.731.124,B04,909,777,731,124,,
Jaagsiekte sheep retrovirus,B04.909.777.731.124.400,B04,909,777,731,124,400,
"Mammary Tumor Virus, Mouse",B04.909.777.731.124.500,B04,909,777,731,124,500,
Mason-Pfizer monkey virus,B04.909.777.731.124.520,B04,909,777,731,124,520,
Deltaretrovirus,B04.909.777.731.200,B04,909,777,731,200,,
"Leukemia Virus, Bovine",B04.909.777.731.200.600,B04,909,777,731,200,600,
Primate T-lymphotropic virus 1,B04.909.777.731.200.725,B04,909,777,731,200,725,
Human T-lymphotropic virus 1,B04.909.777.731.200.725.400,B04,909,777,731,200,725,400
Simian T-lymphotropic virus 1,B04.909.777.731.200.725.755,B04,909,777,731,200,725,755
Primate T-lymphotropic virus 2,B04.909.777.731.200.730,B04,909,777,731,200,730,
Human T-lymphotropic virus 2,B04.909.777.731.200.730.404,B04,909,777,731,200,730,404
Simian T-lymphotropic virus 2,B04.909.777.731.200.730.810,B04,909,777,731,200,730,810
Primate T-lymphotropic virus 3,B04.909.777.731.200.735,B04,909,777,731,200,735,
Human T-lymphotropic virus 3,B04.909.777.731.200.735.374,B04,909,777,731,200,735,374
Simian T-lymphotropic virus 3,B04.909.777.731.200.735.750,B04,909,777,731,200,735,750
Endogenous Retroviruses,B04.909.777.731.250,B04,909,777,731,250,,
Epsilonretrovirus,B04.909.777.731.260,B04,909,777,731,260,,
Gammaretrovirus,B04.909.777.731.375,B04,909,777,731,375,,
"Leukemia Virus, Feline",B04.909.777.731.375.500,B04,909,777,731,375,500,
"Leukemia Virus, Gibbon Ape",B04.909.777.731.375.510,B04,909,777,731,375,510,
"Leukemia Virus, Murine",B04.909.777.731.375.525,B04,909,777,731,375,525,
Abelson murine leukemia virus,B04.909.777.731.375.525.020,B04,909,777,731,375,525,20
AKR murine leukemia virus,B04.909.777.731.375.525.050,B04,909,777,731,375,525,50
Friend murine leukemia virus,B04.909.777.731.375.525.225,B04,909,777,731,375,525,225
Mink Cell Focus-Inducing Viruses,B04.909.777.731.375.525.580,B04,909,777,731,375,525,580
Moloney murine leukemia virus,B04.909.777.731.375.525.596,B04,909,777,731,375,525,596
Radiation Leukemia Virus,B04.909.777.731.375.525.750,B04,909,777,731,375,525,750
Rauscher Virus,B04.909.777.731.375.525.770,B04,909,777,731,375,525,770
Spleen Focus-Forming Viruses,B04.909.777.731.375.525.850,B04,909,777,731,375,525,850
"Reticuloendotheliosis Viruses, Avian",B04.909.777.731.375.700,B04,909,777,731,375,700,
Reticuloendotheliosis virus,B04.909.777.731.375.700.700,B04,909,777,731,375,700,700
"Sarcoma Virus, Woolly Monkey",B04.909.777.731.375.770,B04,909,777,731,375,770,
"Sarcoma Viruses, Feline",B04.909.777.731.375.800,B04,909,777,731,375,800,
"Sarcoma Viruses, Murine",B04.909.777.731.375.860,B04,909,777,731,375,860,
Harvey murine sarcoma virus,B04.909.777.731.375.860.400,B04,909,777,731,375,860,400
Kirsten murine sarcoma virus,B04.909.777.731.375.860.500,B04,909,777,731,375,860,500
Moloney murine sarcoma virus,B04.909.777.731.375.860.600,B04,909,777,731,375,860,600
Lentivirus,B04.909.777.731.589,B04,909,777,731,589,,
"Lentiviruses, Bovine",B04.909.777.731.589.500,B04,909,777,731,589,500,
"Immunodeficiency Virus, Bovine",B04.909.777.731.589.500.400,B04,909,777,731,589,500,400
"Lentiviruses, Equine",B04.909.777.731.589.520,B04,909,777,731,589,520,
"Infectious Anemia Virus, Equine",B04.909.777.731.589.520.400,B04,909,777,731,589,520,400
"Lentiviruses, Feline",B04.909.777.731.589.530,B04,909,777,731,589,530,
"Immunodeficiency Virus, Feline",B04.909.777.731.589.530.400,B04,909,777,731,589,530,400
"Lentiviruses, Ovine-Caprine",B04.909.777.731.589.600,B04,909,777,731,589,600,
"Arthritis-Encephalitis Virus, Caprine",B04.909.777.731.589.600.070,B04,909,777,731,589,600,70
Visna-maedi virus,B04.909.777.731.589.600.900,B04,909,777,731,589,600,900
"Lentiviruses, Primate",B04.909.777.731.589.650,B04,909,777,731,589,650,
HIV,B04.909.777.731.589.650.350,B04,909,777,731,589,650,350
HIV-1,B04.909.777.731.589.650.350.400,B04,909,777,731,589,650,350
HIV-2,B04.909.777.731.589.650.350.410,B04,909,777,731,589,650,350
Simian immunodeficiency virus,B04.909.777.731.589.650.800,B04,909,777,731,589,650,800
"Retroviruses, Simian",B04.909.777.731.805,B04,909,777,731,805,,
"Leukemia Virus, Gibbon Ape",B04.909.777.731.805.510,B04,909,777,731,805,510,
Mason-Pfizer monkey virus,B04.909.777.731.805.550,B04,909,777,731,805,550,
"Sarcoma Virus, Woolly Monkey",B04.909.777.731.805.601,B04,909,777,731,805,601,
Simian immunodeficiency virus,B04.909.777.731.805.700,B04,909,777,731,805,700,
Simian T-lymphotropic virus 1,B04.909.777.731.805.851,B04,909,777,731,805,851,
Simian T-lymphotropic virus 2,B04.909.777.731.805.855,B04,909,777,731,805,855,
Spumavirus,B04.909.777.731.850,B04,909,777,731,850,,
Simian foamy virus,B04.909.777.731.850.750,B04,909,777,731,850,750,
Tenuivirus,B04.909.777.827,B04,909,777,827,,,
Togaviridae,B04.909.777.923,B04,909,777,923,,,
Alphavirus,B04.909.777.923.054,B04,909,777,923,54,,
Chikungunya virus,B04.909.777.923.054.198,B04,909,777,923,54,198,
"Encephalitis Virus, Eastern Equine",B04.909.777.923.054.320,B04,909,777,923,54,320,
"Encephalitis Virus, Venezuelan Equine",B04.909.777.923.054.340,B04,909,777,923,54,340,
"Encephalitis Virus, Western Equine",B04.909.777.923.054.360,B04,909,777,923,54,360,
O'nyong-nyong Virus,B04.909.777.923.054.586,B04,909,777,923,54,586,
Ross River virus,B04.909.777.923.054.813,B04,909,777,923,54,813,
Semliki forest virus,B04.909.777.923.054.840,B04,909,777,923,54,840,
Sindbis Virus,B04.909.777.923.054.860,B04,909,777,923,54,860,
Rubivirus,B04.909.777.923.700,B04,909,777,923,700,,
Rubella virus,B04.909.777.923.700.700,B04,909,777,923,700,700,
Virion,B04.950,B04,950,,,,,
Nucleocapsid,B04.950.500,B04,950,500,,,,
Capsid,B04.950.500.250,B04,950,500,250,,,
Viroids,B04.956,B04,956,,,,,
"Viruses, Unclassified",B04.970,B04,970,,,,,
Anellovirus,B04.970.060,B04,970,60,,,,
Torque teno virus,B04.970.060.800,B04,970,60,800,,,
Nanovirus,B04.970.540,B04,970,540,,,,
Picobirnavirus,B04.970.610,B04,970,610,,,,
Organism Forms,B05,B05,,,,,,
Aquatic Organisms,B05.080,B05,80,,,,,
Plankton,B05.080.500,B05,80,500,,,,
Phytoplankton,B05.080.500.600,B05,80,500,600,,,
Microalgae,B05.080.500.600.500,B05,80,500,600,500,,
Zooplankton,B05.080.500.980,B05,80,500,980,,,
Seaweed,B05.080.750,B05,80,750,,,,
Kelp,B05.080.750.450,B05,80,750,450,,,
Atypical Bacterial Forms,B05.110,B05,110,,,,,
L Forms,B05.110.422,B05,110,422,,,,
Spheroplasts,B05.110.761,B05,110,761,,,,
Chimera,B05.200,B05,200,,,,,
Transplantation Chimera,B05.200.750,B05,200,750,,,,
Radiation Chimera,B05.200.750.760,B05,200,750,760,,,
Endophytes,B05.237,B05,237,,,,,
Hermaphroditic Organisms,B05.275,B05,275,,,,,
Lichens,B05.350,B05,350,,,,,
Usnea,B05.350.915,B05,350,915,,,,
Life Cycle Stages,B05.500,B05,500,,,,,
Larva,B05.500.500,B05,500,500,,,,
Cercaria,B05.500.500.150,B05,500,500,150,,,
Metacercariae,B05.500.500.150.500,B05,500,500,150,500,,
Nymph,B05.500.650,B05,500,650,,,,
Oocysts,B05.500.675,B05,500,675,,,,
Sporozoites,B05.500.675.800,B05,500,675,800,,,
Pupa,B05.500.700,B05,500,700,,,,
Schizonts,B05.500.800,B05,500,800,,,,
Merozoites,B05.500.800.500,B05,500,800,500,,,
Trophozoites,B05.500.950,B05,500,950,,,,
Mycorrhizae,B05.550,B05,550,,,,,
"Organisms, Genetically Modified",B05.620,B05,620,,,,,
"Animals, Genetically Modified",B05.620.136,B05,620,136,,,,
"Plants, Genetically Modified",B05.620.600,B05,620,600,,,,
Spores,B05.775,B05,775,,,,,
"Spores, Bacterial",B05.775.700,B05,775,700,,,,
"Spores, Fungal",B05.775.710,B05,775,710,,,,
"Spores, Protozoan",B05.775.740,B05,775,740,,,,
Oocysts,B05.775.740.600,B05,775,740,600,,,
Sporozoites,B05.775.740.600.800,B05,775,740,600,800,,
Schizonts,B05.775.740.800,B05,775,740,800,,,
Merozoites,B05.775.740.800.500,B05,775,740,800,500,,
Trophozoites,B05.775.740.900,B05,775,740,900,,,
Transplantation Chimera,B05.825,B05,825,,,,,
Radiation Chimera,B05.825.760,B05,825,760,,,,
Bacterial Infections and Mycoses,C01,C01,,,,,,
Bacterial Infections,C01.252,C01,252,,,,,
Bacteremia,C01.252.100,C01,252,100,,,,
Hemorrhagic Septicemia,C01.252.100.375,C01,252,100,375,,,
Central Nervous System Bacterial Infections,C01.252.200,C01,252,200,,,,
Brain Abscess,C01.252.200.100,C01,252,200,100,,,
"Empyema, Subdural",C01.252.200.200,C01,252,200,200,,,
Epidural Abscess,C01.252.200.250,C01,252,200,250,,,
Lyme Neuroborreliosis,C01.252.200.450,C01,252,200,450,,,
"Meningitis, Bacterial",C01.252.200.500,C01,252,200,500,,,
"Meningitis, Escherichia coli",C01.252.200.500.400,C01,252,200,500,400,,
"Meningitis, Haemophilus",C01.252.200.500.450,C01,252,200,500,450,,
"Meningitis, Listeria",C01.252.200.500.500,C01,252,200,500,500,,
"Meningitis, Meningococcal",C01.252.200.500.550,C01,252,200,500,550,,
Waterhouse-Friderichsen Syndrome,C01.252.200.500.550.800,C01,252,200,500,550,800,
"Meningitis, Pneumococcal",C01.252.200.500.600,C01,252,200,500,600,,
"Tuberculosis, Meningeal",C01.252.200.500.800,C01,252,200,500,800,,
Neurosyphilis,C01.252.200.750,C01,252,200,750,,,
"Endocarditis, Bacterial",C01.252.300,C01,252,300,,,,
"Endocarditis, Subacute Bacterial",C01.252.300.407,C01,252,300,407,,,
"Eye Infections, Bacterial",C01.252.354,C01,252,354,,,,
"Conjunctivitis, Bacterial",C01.252.354.225,C01,252,354,225,,,
"Conjunctivitis, Inclusion",C01.252.354.225.250,C01,252,354,225,250,,
Ophthalmia Neonatorum,C01.252.354.225.625,C01,252,354,225,625,,
Trachoma,C01.252.354.225.800,C01,252,354,225,800,,
Hordeolum,C01.252.354.400,C01,252,354,400,,,
"Keratoconjunctivitis, Infectious",C01.252.354.450,C01,252,354,450,,,
"Tuberculosis, Ocular",C01.252.354.800,C01,252,354,800,,,
"Uveitis, Suppurative",C01.252.354.900,C01,252,354,900,,,
Panophthalmitis,C01.252.354.900.675,C01,252,354,900,675,,
Fournier Gangrene,C01.252.377,C01,252,377,,,,
Gram-Negative Bacterial Infections,C01.252.400,C01,252,400,,,,
Aliivibrio Infections,C01.252.400.050,C01,252,400,50,,,
Anaplasmataceae Infections,C01.252.400.054,C01,252,400,54,,,
Anaplasmosis,C01.252.400.054.050,C01,252,400,54,50,,
Ehrlichiosis,C01.252.400.054.160,C01,252,400,54,160,,
Heartwater Disease,C01.252.400.054.160.400,C01,252,400,54,160,400,
Bacteroidaceae Infections,C01.252.400.110,C01,252,400,110,,,
Bacteroides Infections,C01.252.400.110.109,C01,252,400,110,109,,
Bartonellaceae Infections,C01.252.400.126,C01,252,400,126,,,
Bartonella Infections,C01.252.400.126.100,C01,252,400,126,100,,
"Angiomatosis, Bacillary",C01.252.400.126.100.050,C01,252,400,126,100,50,
Cat-Scratch Disease,C01.252.400.126.100.150,C01,252,400,126,100,150,
Trench Fever,C01.252.400.126.100.800,C01,252,400,126,100,800,
Bordetella Infections,C01.252.400.143,C01,252,400,143,,,
Whooping Cough,C01.252.400.143.740,C01,252,400,143,740,,
Borrelia Infections,C01.252.400.155,C01,252,400,155,,,
Lyme Disease,C01.252.400.155.569,C01,252,400,155,569,,
Erythema Chronicum Migrans,C01.252.400.155.569.200,C01,252,400,155,569,200,
Lyme Neuroborreliosis,C01.252.400.155.569.600,C01,252,400,155,569,600,
Relapsing Fever,C01.252.400.155.644,C01,252,400,155,644,,
Brucellosis,C01.252.400.167,C01,252,400,167,,,
"Brucellosis, Bovine",C01.252.400.167.322,C01,252,400,167,322,,
Burkholderia Infections,C01.252.400.170,C01,252,400,170,,,
Glanders,C01.252.400.170.400,C01,252,400,170,400,,
Melioidosis,C01.252.400.170.531,C01,252,400,170,531,,
Campylobacter Infections,C01.252.400.177,C01,252,400,177,,,
Cat-Scratch Disease,C01.252.400.200,C01,252,400,200,,,
Chlamydiaceae Infections,C01.252.400.210,C01,252,400,210,,,
Chlamydia Infections,C01.252.400.210.210,C01,252,400,210,210,,
Chlamydial Pneumonia,C01.252.400.210.210.124,C01,252,400,210,210,124,
"Conjunctivitis, Inclusion",C01.252.400.210.210.250,C01,252,400,210,210,250,
Lymphogranuloma Venereum,C01.252.400.210.210.490,C01,252,400,210,210,490,
Trachoma,C01.252.400.210.210.800,C01,252,400,210,210,800,
Chlamydophila Infections,C01.252.400.210.250,C01,252,400,210,250,,
Chlamydial Pneumonia,C01.252.400.210.250.299,C01,252,400,210,250,299,
Psittacosis,C01.252.400.210.250.600,C01,252,400,210,250,600,
Cytophagaceae Infections,C01.252.400.245,C01,252,400,245,,,
Desulfovibrionaceae Infections,C01.252.400.260,C01,252,400,260,,,
Enterobacteriaceae Infections,C01.252.400.310,C01,252,400,310,,,
"Dysentery, Bacillary",C01.252.400.310.229,C01,252,400,310,229,,
Escherichia coli Infections,C01.252.400.310.330,C01,252,400,310,330,,
"Meningitis, Escherichia coli",C01.252.400.310.330.500,C01,252,400,310,330,500,
Granuloma Inguinale,C01.252.400.310.416,C01,252,400,310,416,,
Klebsiella Infections,C01.252.400.310.503,C01,252,400,310,503,,
Rhinoscleroma,C01.252.400.310.503.650,C01,252,400,310,503,650,
Proteus Infections,C01.252.400.310.708,C01,252,400,310,708,,
Salmonella Infections,C01.252.400.310.821,C01,252,400,310,821,,
Paratyphoid Fever,C01.252.400.310.821.438,C01,252,400,310,821,438,
Salmonella Food Poisoning,C01.252.400.310.821.606,C01,252,400,310,821,606,
"Salmonella Infections, Animal",C01.252.400.310.821.706,C01,252,400,310,821,706,
Typhoid Fever,C01.252.400.310.821.873,C01,252,400,310,821,873,
Serratia Infections,C01.252.400.310.850,C01,252,400,310,850,,
Yersinia Infections,C01.252.400.310.980,C01,252,400,310,980,,
Plague,C01.252.400.310.980.745,C01,252,400,310,980,745,
Yersinia pseudotuberculosis Infections,C01.252.400.310.980.780,C01,252,400,310,980,780,
Flavobacteriaceae Infections,C01.252.400.349,C01,252,400,349,,,
Fusobacteriaceae Infections,C01.252.400.388,C01,252,400,388,,,
Fusobacterium Infections,C01.252.400.388.350,C01,252,400,388,350,,
"Gingivitis, Necrotizing Ulcerative",C01.252.400.388.350.400,C01,252,400,388,350,400,
Lemierre Syndrome,C01.252.400.388.350.700,C01,252,400,388,350,700,
Rat-Bite Fever,C01.252.400.388.750,C01,252,400,388,750,,
Helicobacter Infections,C01.252.400.466,C01,252,400,466,,,
Legionellosis,C01.252.400.500,C01,252,400,500,,,
Legionnaires' Disease,C01.252.400.500.501,C01,252,400,500,501,,
Leptospirosis,C01.252.400.511,C01,252,400,511,,,
Weil Disease,C01.252.400.511.739,C01,252,400,511,739,,
Moraxellaceae Infections,C01.252.400.560,C01,252,400,560,,,
Acinetobacter Infections,C01.252.400.560.022,C01,252,400,560,22,,
Mycoplasmatales Infections,C01.252.400.610,C01,252,400,610,,,
Mycoplasma Infections,C01.252.400.610.610,C01,252,400,610,610,,
"Pleuropneumonia, Contagious",C01.252.400.610.610.717,C01,252,400,610,610,717,
"Pneumonia, Mycoplasma",C01.252.400.610.610.760,C01,252,400,610,610,760,
Ureaplasma Infections,C01.252.400.610.850,C01,252,400,610,850,,
Neisseriaceae Infections,C01.252.400.625,C01,252,400,625,,,
Gonorrhea,C01.252.400.625.391,C01,252,400,625,391,,
Ophthalmia Neonatorum,C01.252.400.625.391.658,C01,252,400,625,391,658,
Meningococcal Infections,C01.252.400.625.549,C01,252,400,625,549,,
"Meningitis, Meningococcal",C01.252.400.625.549.449,C01,252,400,625,549,449,
Waterhouse-Friderichsen Syndrome,C01.252.400.625.549.449.800,C01,252,400,625,549,449,800
Pasteurellaceae Infections,C01.252.400.700,C01,252,400,700,,,
Actinobacillus Infections,C01.252.400.700.030,C01,252,400,700,30,,
Actinobacillosis,C01.252.400.700.030.178,C01,252,400,700,30,178,
Haemophilus Infections,C01.252.400.700.433,C01,252,400,700,433,,
Chancroid,C01.252.400.700.433.257,C01,252,400,700,433,257,
"Meningitis, Haemophilus",C01.252.400.700.433.615,C01,252,400,700,433,615,
Pasteurella Infections,C01.252.400.700.662,C01,252,400,700,662,,
Hemorrhagic Septicemia,C01.252.400.700.662.297,C01,252,400,700,662,297,
"Pasteurellosis, Pneumonic",C01.252.400.700.675,C01,252,400,700,675,,
Piscirickettsiaceae Infections,C01.252.400.719,C01,252,400,719,,,
Pseudomonas Infections,C01.252.400.739,C01,252,400,739,,,
Q Fever,C01.252.400.755,C01,252,400,755,,,
Rat-Bite Fever,C01.252.400.771,C01,252,400,771,,,
Rickettsiaceae Infections,C01.252.400.780,C01,252,400,780,,,
"Pneumonia, Rickettsial",C01.252.400.780.600,C01,252,400,780,600,,
Rickettsia Infections,C01.252.400.780.790,C01,252,400,780,790,,
Boutonneuse Fever,C01.252.400.780.790.125,C01,252,400,780,790,125,
Rocky Mountain Spotted Fever,C01.252.400.780.790.700,C01,252,400,780,790,700,
"Typhus, Endemic Flea-Borne",C01.252.400.780.790.800,C01,252,400,780,790,800,
"Typhus, Epidemic Louse-Borne",C01.252.400.780.790.805,C01,252,400,780,790,805,
Scrub Typhus,C01.252.400.780.850,C01,252,400,780,850,,
Tick-Borne Diseases,C01.252.400.825,C01,252,400,825,,,
Anaplasmosis,C01.252.400.825.050,C01,252,400,825,50,,
Boutonneuse Fever,C01.252.400.825.125,C01,252,400,825,125,,
Ehrlichiosis,C01.252.400.825.200,C01,252,400,825,200,,
