id,hpo
MUSCLE BIOPSY SHOWS DECREASE OR ABSENCE OF CYTOCHROME C OXIDASE,Anatomical Abnormality
PARTIAL OR COMPLETE ABSENCE OF CEREBELLAR VERMIS,Anatomical Abnormality
SEIZURES OCCUR IN ABSENCE OF INTRACRANIAL INFECTION OR DEFINED PATHOLOGIC OR TRAUMATIC CAUSE,Anatomical Abnormality
CORTICOMEDULLARY CYSTS,Disease or Syndrome
DYSMYELINATION WITH EXCESS MYELIN-DEPENDENT GLIOSIS,Qualitative Concept
CHALAZION,Disease or Syndrome
LOSS OF LARGER MYELINATED NERVE FIBERS,Quantitative Concept
ABNORMALITY OF THE GENITAL TRACT,Cell or Molecular Dysfunction
ABNORMALITY OF THE SALIVARY GLANDS,Finding
ABNORMALITY OF THE DISTAL RADIAL EPIPHYSIS,Finding
ABNORMALITY OF THE MIDDLE PHALANX OF THE 2ND TOE,Finding
ABNORMALITY OF THE MINERALISATION AND OSSIFICATION OF BONES OF THE FEET,Finding
ABNORMALITY OF THE VIIITH CRANIAL NERVE,Finding
ABNORMALITY OF THE EPIDIDYMIS,Finding
ABNORMALITY OF THE DISTAL PHALANX OF THE THUMB,Finding
ABNORMALITY OF THE EPIPHYSIS OF THE DISTAL PHALANX OF THE 2ND FINGER,Finding
ABNORMALITY OF THE PROXIMAL PHALANX OF THE 4TH TOE,Finding
ABNORMALITY OF THE PALMAR CREASES,Finding
ABNORMALITY OF THE FEMALE GENITALIA,Finding
ABNORMALITY OF THE PHALANGES OF THE 3RD FINGER,Finding
ABNORMALITY OF THE TRAGUS,Finding
ABNORMALITY OF THE ANTITRAGUS,Finding
ABNORMALITY OF VITAMIN A METABOLISM,Finding
ABNORMALITY OF THE DISTAL PHALANGES OF THE HAND,Finding
ABNORMALITY OF THE EPIPHYSIS OF THE PROXIMAL PHALANX OF THE 5TH FINGER,Finding
ABNORMALITY OF THE EPIPHYSIS OF THE 1ST METATARSAL,Finding
ABNORMALITY OF THE EPIPHYSES OF THE TOES,Finding
ABNORMALITY OF THE RENAL ARTERY,Finding
ABNORMALITY OF THE ATRIOVENTRICULAR VALVES,Finding
ABNORMALITY OF CARPAL BONE OSSIFICATION,Finding
ABNORMALITY INVOLVING THE METAPHYSES OF THE LIMBS,Finding
ABNORMALITY INVOLVING THE DIAPHYSES OF THE LIMBS,Finding
ABNORMALITY OF THE MIDDLE PHALANX OF THE 5TH FINGER,Finding
ABNORMALITY OF THE RADIAL HEAD,Finding
ABNORMALITY OF THE TIBIAL PLATEAUX,Finding
ABNORMALITY OF MACROPHAGES,Finding
TRIDENT ABNORMALITY,Finding
ABNORMALITY OF THE VITREOUS HUMOR,Finding
ABNORMALITY OF THE OLECRANON,Finding
ABNORMALITY OF THE ANUS,Finding
ABNORMALITY OF LIPID METABOLISM,Finding
ABNORMALITY OF THE CERVICAL SPINE,Finding
ABNORMALITY OF THE HUMERUS,Finding
ABNORMALITY OF THE HIP,Finding
ABNORMALITY OF THE PELVIS,Finding
PRENATAL MATERNAL ABNORMALITY,Finding
ABNORMALITY OF THE PERITONEUM,Finding
ABNORMALITY OF THE VASCULATURE,Finding
ABNORMALITY OF THE CEREBRAL CORTEX,Finding
ABNORMALITY OF THE CORTICOSPINAL TRACT,Finding
ABNORMALITY OF THE GLOBUS PALLIDUS,Finding
ABNORMALITY OF THE PYRAMIDAL TRACTS,Finding
GLABELLAR ABNORMALITY,Finding
ABNORMALITY OF COGNITION,Finding
ABNORMALITY OF GASTROINTESTINAL ORGANS,Finding
ABNORMALITY OF ERYTHROCYTES,Finding
ABNORMALITY OF GRANULOCYTES,Finding
MESANGIAL ABNORMALITY,Finding
ABNORMALITY OF THE SCALP,Finding
ABNORMALITY OF THE PERICARDIUM,Finding
PRENATAL MOVEMENT ABNORMALITY,Finding
ABNORMALITY OF THE MYOCARDIUM,Finding
ABNORMALITY OF THE FOOT MUSCULATURE,Finding
ABNORMALITY OF THE SHOULDER GIRDLE MUSCULATURE,Finding
HISTOLOGICAL ABNORMALITY OF THE SKIN,Finding
ABNORMALITY OF THE CRANIAL NERVES,Finding
ABNORMALITY OF THE MUSCULATURE OF THE UPPER ARM,Finding
ABNORMALITY OF CORNEAL SIZE OR SHAPE,Finding
ABNORMALITY OF THE CARPAL BONES,Finding
ABNORMALITY OF THE HAND,Finding
ABNORMALITY OF THE METAPHYSES,Finding
ABNORMALITY OF THE PITUITARY GLAND,Finding
ADRENOCORTICAL ABNORMALITY,Finding
ABNORMALITY OF VISION EVOKED POTENTIALS,Finding
ABNORMALITY OF DENTAL ENAMEL,Finding
ABNORMALITY OF THE CONJUNCTIVA,Finding
ABNORMALITY OF THE NASAL BRIDGE,Finding
ABNORMALITY OF THE NASAL MUCOSA,Finding
ABNORMALITY OF THE LACRIMAL DUCT,Finding
ABNORMALITY OF THE CHOROID,Finding
ABNORMALITY OF THE UVULA,Finding
ABNORMALITY OF THE MASTOID,Finding
HEAD ABNORMALITY,Finding
ABNORMALITY OF THE CHOANAE,Finding
ABNORMALITY OF THE INNER EAR,Finding
ABNORMALITY OF THE KIDNEYS,Finding
ABNORMALITY OF MALE INTERNAL GENITALIA,Finding
EARLY INVOLVEMENT OF THE CORTICOSPINAL PATHWAYS,Molecular Function
HORIZONTAL ORIENTATION OF THE EAR CRUS,Spatial Concept
HYPOPHOSPHATEMIC RICKETS,Disease or Syndrome
TRICUSPID AND MITRAL VALVES ARE REPLACED BY A SINGLE INLET VALVE,Medical Device
REDUCED PLATELET AGGREGATION RESPONSE TO COLLAGEN AND THROMBIN,Finding
ABSENT ROD-AND CONE-MEDIATED RESPONSES ON ERG,Biomedical or Dental Material
LONG HAIRS GROWING FROM HELIX OF PINNA,Spatial Concept
ABNORMALITY OF THE HELIX,Spatial Concept
VARIABLE MILD SHORT STATURE,Quantitative Concept
VARIABLE IMMUNODEFICIENCY,Quantitative Concept
IMPAIRED VIBRATORY AND POSITION SENSES,Medical Device
FUSION OF SECOND METACARPAL-TRAPEZOID,Qualitative Concept
SHORT SECOND AND FIFTH FINGERS,Qualitative Concept
POINTED PROXIMAL SECOND THROUGH FIFTH METACARPALS,Qualitative Concept
TYPE 1 MUSCLE FIBER PREDOMINANCE,Manufactured Object
DEVIATION/DISPLACEMENT OF THE HALLUX,Finding
MEDIAL DEVIATION OF THE FOOT,Finding
NODULAR CHANGES AFFECTING THE EYELIDS,Quantitative Concept
TRIANGULAR EPIPHYSIS OF THE DISTAL PHALANX OF THE 3RD FINGER,Quantitative Concept
SCHEUERMANN-LIKE VERTEBRAL CHANGES,Quantitative Concept
TRIANGULAR SHAPED PHALANGES OF THE HAND,Quantitative Concept
PATHOLOGIC CHANGES IN ANTERIOR HORN CELLS AND LATERAL CORTICOSPINAL TRACTS,Quantitative Concept
AXONAL LOSS WITH LITTLE EVIDENCE OF DEMYELINATION OR HYPERTROPHIC CHANGES IN NERVE BIOPSIES,Quantitative Concept
MYOPATHIC CHANGES ON MUSCLE BIOPSY,Quantitative Concept
EMG SHOWS MYOPATHIC CHANGES,Quantitative Concept
APLASIA OF THE DISTAL PHALANX OF THE THUMB,Manufactured Object
DIAPHRAGMATIC EVENTRATION,Medical Device
DENERVATION OF THE DIAPHRAGM,Medical Device
"GONADOBLASTOMA, FEMALE",Qualitative Concept
"HYPOGONADISM, FEMALE",Qualitative Concept
"ABNORMAL BRAINSTEM AUDITORY EVOKED POTENTIALS, SUGGESTING DEMYELINATION",Idea or Concept
CONSPICIOUS HAPPY DISPOSITION,Idea or Concept
HYPOPLASTIC SUPERIOR HELIX,Anatomical Structure
LETHAL DWARFISM IDENTIFIABLE AT BIRTH,Conceptual Entity
SHORT-LIMB DWARFISM IDENTIFIABLE AT BIRTH,Conceptual Entity
HYPOPLASTIC OPTIC DISCS WITH DOUBLE MARGIN,Activity
PARTIAL/COMPLETE DUPLICATION OF THE PHALANGES OF THE 3RD TOE,Cell or Molecular Dysfunction
BIFID 1ST METACARPAL,Cell or Molecular Dysfunction
PARTIAL/COMPLETE DUPLICATION OF THE PHALANGES OF THE TOES,Cell or Molecular Dysfunction
COMPLETE DUPLICATION OF THE DISTAL PHALANX OF THE 5TH FINGER,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE PROXIMAL PHALANX OF THE 2ND FINGER,Cell or Molecular Dysfunction
PARTIAL/COMPLETE DUPLICATION OF THE MIDDLE PHALANX OF THE 5TH FINGER,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE PROXIMAL PHALANX OF THE 5TH FINGER,Cell or Molecular Dysfunction
COMPLETE DUPLICATION OF THE MIDDLE PHALANGES OF THE HAND,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE PHALANGES OF THE THUMB,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE PROXIMAL PHALANX OF THE 4TH FINGER,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE DISTAL PHALANX OF THE 4TH FINGER,Cell or Molecular Dysfunction
PARTIAL/COMPLETE DUPLICATION OF THE DISTAL PHALANX OF THE 4TH FINGER,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE PHALANGES OF THE 4TH FINGER,Cell or Molecular Dysfunction
PARTIAL/COMPLETE DUPLICATION OF PHALANGES OF THE 4TH FINGER,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE PROXIMAL PHALANX OF THE 3RD FINGER,Cell or Molecular Dysfunction
PARTIAL/COMPLETE DUPLICATION OF THE PHALANGES OF THE HALLUX,Cell or Molecular Dysfunction
PARTIAL/COMPLETE DUPLICATION OF THE PROXIMAL PHALANX OF THE HALLUX,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE PHALANGES OF THE HALLUX,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE DISTAL PHALANX OF THE HALLUX,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE PHALANGES OF THE 3RD FINGER,Cell or Molecular Dysfunction
PARTIAL/COMPLETE DUPLICATION OF PHALANGES OF THE 3RD FINGER,Cell or Molecular Dysfunction
PARTIAL DUPLICATION OF THE PHALANGES OF THE 2ND FINGER,Cell or Molecular Dysfunction
POLYDACTYLY (FEET),Cell or Molecular Dysfunction
MOTOR AND SENSORY NEUROPATHY,Manufactured Object
DECREASED MOTOR AND SENSORY NERVE CONDUCTION VELOCITIES,Manufactured Object
NORMAL OR MILDLY DECREASED MOTOR NERVE CONDUCTION VELOCITY (NCV),Manufactured Object
DELAYED GROSS MOTOR DEVELOPMENT,Manufactured Object
ANHIDROTIC ECTODERMAL DYSPLASIA,Congenital Abnormality
SHORTENING OF THE TIBIA,Qualitative Concept
SEVERE VISUAL IMPAIRMENT,Qualitative Concept
"URETHRAL ATRESIA, MALE",Qualitative Concept
"GONADOBLASTOMA, MALE",Qualitative Concept
BULLET-SHAPED DISTAL PHALANX OF THE 2ND FINGER,Qualitative Concept
BULLET-SHAPED DISTAL PHALANX OF THE 5TH FINGER,Qualitative Concept
BULLET-SHAPED PROXIMAL PHALANX OF THE 2ND TOE,Qualitative Concept
BULLET-SHAPED MIDDLE PHALANGES OF THE HAND,Qualitative Concept
BULLET-SHAPED PHALANGES OF THE HAND,Qualitative Concept
BULLET-SHAPED PROXIMAL PHALANX OF THE HALLUX,Qualitative Concept
CYSTIC LESIONS OF THE PINNAE,"Body Part, Organ, or Organ Component"
INCREASED LENGTH OF TOES,Research Activity
SHORTENED BOWED LONG BONES,Qualitative Concept
LONG ULNA,Qualitative Concept
"HYPOGONADISM, MALE",Qualitative Concept
CHRONIC ADULT LACTIC ACIDOSIS,Human
ELECTRON MICROSCOPY SHOWS SUBSARCOLEMMAL ACCUMULATIONS OF ABNORMALLY SHAPED MITOCHONDRIA,Manufactured Object
SELECTIVE PROXIMAL TUBULAR DAMAGE,Activity
PRIMARY DYSFUNCTION OF B-LYMPHOCYTE ISOTYPE SWITCHING AND MEMORY B-CELL GENERATION,Manufactured Object
BLEPHAROSPASM MAY OCCUR,Activity
ARTHROGRYPOSIS MAY OCCUR,Activity
GAIT ABNORMALITIES MAY OCCUR,Activity
DELAYED DEVELOPMENT MAY OCCUR,Activity
FACIAL DYSMORPHISM MAY OCCUR,Activity
OVOID VERTEBRAL BODIES,Qualitative Concept
"SYMMETRICAL, OVAL PARIETAL BONE DEFECTS",Qualitative Concept
ABSENT SPINOUS PROCESSES OF LOWER THORACIC AND LUMBAR VERTEBRAE,Activity
IMAGING SHOWS SIGNAL ABNORMALITIES IN BASAL GANGLIA,Phenomenon or Process
DIFFICULTY WALKING AND CLIMBING STAIRS,Geographic Area
PERIPAPILLARY CHORIORETINAL ATROPHY,Finding
"SUPRANUCLEAR GAZE PALSY, HORIZONTAL",Disease or Syndrome
CONGENITAL RENAL SARCOMA,Qualitative Concept
CONGENITAL ONYCHODYSTROPHY,Qualitative Concept
CONGENITAL CORNEA PLANA,Qualitative Concept
CONGENITAL NEUROBLASTOMA,Qualitative Concept
CONGENITAL MICROTHORAX,Qualitative Concept
"ARTHROGRYPOSIS, CONGENITAL",Qualitative Concept
CONGENITAL RADIAL HEAD POSTERIOR DISLOCATION,Qualitative Concept
MULTIPLE PRENATAL FRACTURES,Qualitative Concept
"CONGENITAL, UPWARD DISPLACEMENT OF THE SCAPULA",Qualitative Concept
"THROMBOCYTOPENIA, CONGENITAL",Qualitative Concept
CONGENITAL CATARACT,Qualitative Concept
INCREASED CSF PROTEIN,Finding
SHORT CORPUS CALLOSUM,Quantitative Concept
"SHORT, BROAD CLAVICLES",Quantitative Concept
SHORT TAPERING FINGERS,Quantitative Concept
SHORT MANDIBULAR CONDYLES,Quantitative Concept
"SHORT, ROUNDED, ABNORMAL-SHAPED MIDDLE PHALANGES",Quantitative Concept
SHORT 4TH AND 5TH METATARSALS,Quantitative Concept
MITOCHONDRIAL LYSINE TRANSPORT DEFECT,Cell Function
"'KEY-HOLE' IRIS, RETINA, CHOROID COLOBOMA",Gene or Genome
DECREASED SERUM COMPLEMENT FACTOR B,Gene or Genome
INCREASED PHOSPHORIBOSYLPYROPHOSPHATE (PRPP) SYNTHETASE,Enzyme
ABSENT PERIPHERAL BLOOD T CELLS,Finding
DISTAL SENSORY LOSS OF TACTILE AND VIBRATORY SENSES,Finding
AXONAL LOSS WITH LITTLE EVIDENCE OF DEMYELINATION OR HYPERTROPHIC CHANGES IN NERVE BIOPSIES,Finding
MICROMELIA,Finding
HYPOCORTISOLEMIA,Disease or Syndrome
INCREASED IGE LEVEL,Finding
DECREASED MEAN PLATELET VOLUME,Finding
DECREASED MEAN PLATELET VOLUME,Finding
SOFT CALVARIA,Finding
PROGRESSIVE PIGMENTARY RETINAL DEGENERATION,Finding
SYNOSTOSIS INVOLVING TARSAL BONES,Finding
PROXIMAL PHALANGEAL PERIOSTEAL THICKENING,Finding
TRICEPS APLASIA,Finding
YELLOW-BROWN DISCOLORATION OF THE TEETH,Finding
MACROCEPHALY,Finding
LUMBAR KYPHOSCOLIOSIS,Finding
HYPOPLASIA OF FIRST RIBS,Finding
HYPOPLASIA OF THE TOES,Finding
THICK CORPUS CALLOSUM,Finding
POSTNATAL GROWTH DECELERATION,Finding
"SHORT, THIN, SLOW GROWING NAILS",Finding
GENERALIZED MUSCULAR APPEARANCE FROM BIRTH,Finding
INCREASED INTRAABDOMINAL FAT,Finding
CORTICAL DIAPHYSEAL THICKENING OF THE UPPER LIMBS,Finding
INCREASED CREATINE KINASE,Finding
NORMOCYTIC HYPOPLASTIC ANEMIA,Finding
LOWER LIMB MUSCLE WEAKNESS,Finding
LIMB MUSCLE WEAKNESS,Finding
"LONG, NARROW FACIES",Finding
APLASIA/HYPOPLASIA OF THE FIBULA,Finding
SYNOSTOSIS INVOLVING TARSAL BONES,Finding
SYNOSTOSIS INVOLVING THE CARPAL BONES,Finding
DISTAL SENSORY IMPAIRMENT OF ALL MODALITIES,Finding
IMPAIRED HORIZONTAL SMOOTH PURSUIT,Finding
HYPERTONIC SEIZURES,Finding
LUMBAR HYPERLORDOSIS,Finding
BROAD FEMORAL NECK,Finding
PROGRESSIVE DISTAL MUSCLE WEAKNESS AND ATROPHY,Finding
BRISK LOWER EXTREMITY REFLEXES,Finding
ABSENT MIDDLE EAR REFLEXES,Finding
PROXIMAL UPPER LIMB MUSCLE ATROPHY,Finding
IRREGULAR PATELLAR MARGINS,Finding
OSTEOPOROTIC METATARSAL,Finding
NUMEROUS NEVI,Finding
PRENATAL GROWTH DEFICIENCY,Finding
DOLICHOSTENOMELIA,Finding
REDUCED UPPER-LOWER SEGMENT RATIO,Finding
RECURRENT VIRAL INFECTIONS,Finding
EASY FATIGABILITY,Finding
DECREASED MUSCLE MASS,Finding
ELEVATED LONG CHAIN FATTY ACIDS,Finding
APLASTIC/HYPOPLASTIC TOENAILS,Finding
PREDISPOSITION TO SEVERE INFECTIONS,Finding
ABNORMAL RESPIRATORY PATTERNS,Finding
BROAD AND HIGH NASAL BRIDGE,Finding
ACRAL ULCERATION LEADING TO AUTOAMPUTATION OF DIGITS,Finding
PROGRESSIVE ENDPLATE IRREGULARITY,Finding
PINCHED NOSE,Finding
INCREASED SUBCUTANEOUS TRUNCAL ADIPOSE TISSUE,Finding
HYPOMIMIC FACE,Finding
BILATERAL CLUB FEET,Finding
DECREASED ENAMEL MINERALISATION,Finding
DELAYED CLOSURE OF THE ANTERIOR FONTANELLE,Finding
ABSENT NASAL BRIDGE,Finding
LIMB HYPERTONIA,Finding
ABSENT OSSIFICATION/ABSENCE OF RADIUS,Finding
LETHAL INFANTILE MITOCHONDRIAL MYOPATHY,Disease or Syndrome
BROAD SECONDARY ALVEOLAR RIDGE,Finding
SUBMUCOUS CLEFT LIP/PALATE,Finding
2-3 FINGER SYNDACTYLY,Finding
"REDUCED IGG LEVELS, PARTICULARLY THE IGG2 SUBCLASS",Finding
APLASIA/HYPOPLASIA OF THE MIDDLE PHALANX OF THE 2ND FINGER,Finding
INCREASED CSF LACTATE,Finding
PROXIMAL RENAL TUBULE DEFECT,Finding
LOW-MOLECULAR-WEIGHT PROTEINURIA,Finding
MACROCEPHALY,Finding
PROMINENT LOWER LIP,Finding
IPSILATERAL RENAL AGENESIS,Finding
HYPOPLASTIC/SHORT 4TH METACARPAL,Finding
MILD VERTEBRAL BODY SCLEROSIS,Finding
URETEROPELVIC JUNCTION OBSTRUCTION,Disease or Syndrome
THENAR HYPOPLASIA,Finding
PSEUDOEPIPHYSES OF THE 5TH FINGER,Finding
PSEUDOEPIPHYSIS OF THE PROXIMAL PHALANX OF THE HALLUX,Finding
"GIANT PIGMENTED HAIRY NEVUS, OFTEN IN LUMBOSACRAL DISTRIBUTION",Disease or Syndrome
POSTERIOR RIB FUSION,Finding
PROGRESSIVE CHILDHOOD HEARING LOSS,Finding
BROAD PHALANGES OF THE 2ND FINGER,Finding
BROAD MIDDLE PHALANGES OF THE TOES,Finding
BROAD PHALANGES OF THE TOES,Finding
BROAD 1ST METATARSAL,Finding
"SHORT, BROAD METATARSALS",Finding
PANCREATIC CALCIFICATION,Finding
CALF MUSCLE HYPERTROPHY,Finding
SENSORY AXONAL NEUROPATHY,Finding
ABNORMALITY OF CARDIAC CONDUCTION,Finding
HYPOPLASTIC/SMALL 5TH FINGER,Finding
CLAW HAND DEFORMITIES (IN SEVERE CASES),Finding
ECTRODACTYLY (HANDS),Finding
CALF HYPERTROPHY,Finding
SPARSE EYEBROWS AND EYELASHES,Finding
AMYOTROPHY INVOLVING THE LOWER LIMBS,Finding
RECURRENT RESPIRATORY INFECTIONS,Finding
POSTERIOR LEUKOENCEPHALOPATHY,Finding
HYPOPLASTIC SCAPULAE,Finding
LARGE SELLA TURCICA,Finding
DISTAL SYMPHALANGISM (FEET),Finding
BELL-SHAPED CHEST,Finding
"VESTIBULAR DYSFUNCTION, VARIABLE",Finding
MICROSACCADIC PURSUIT,Finding
RECURRENT BACTERIAL INFECTIONS,Finding
SMALL POINTED CHIN,Finding
HYPOPLASTIC-ABSENT SEBACEOUS GLANDS,Finding
IMMUNE DYSREGULATION,Finding
CONGENITAL VERTICAL TALUS,Finding
BILATERAL CHORIORETINOPATHY,Finding
THICKENED CALVARIA,Finding
STIPPLING OF THE EPIPHYSES,Finding
NASAL BONE HYPOPLASIA,Finding
"SHORT, BROAD FINGERS",Finding
INTERMITTENT LACTIC ACIDEMIA,Finding
HYPOPLASTIC PROSTATE,Finding
HEAVY SUPRAORBITAL RIDGES,Finding
LOW PLASMA RENIN ACTIVITY,Finding
RETROCEREBELLAR CYST,Finding
PROGRESSIVE NEUROLOGIC DETERIORATION,Finding
SEVERE URETERAL REFLUX,Finding
RUDIMENTARY TO ABSENT FIBULAE,Finding
COARSE FACIAL FEATURES,Finding
CUTANEOUS SYNDACTYLY OF THE FINGERS,Finding
INCREASED PLASMA RENIN,Finding
INTERMITTENT MICROSACCADIC PURSUITS,Finding
HYPOPLASTIC ACETABULAE,Finding
MILDLY FLARED IRREGULAR METAPHYSES,Finding
IRREGULAR EPIPHYSES OF THE HALLUX,Finding
IRREGULAR EPIPHYSES WITH DELAYED GROWTH,Finding
IRREGULAR HUMERAL EPIPHYSES,Finding
HYPOPLASIA OF THE RADIUS,Finding
OCCASIONAL PYRAMIDAL TRACT SIGNS,Finding
UNILATERAL CLONIC SEIZURES,Finding
FRONTAL LOBE DEMENTIA,Finding
CERVICAL SUBLUXATION,Finding
FLARED IRREGULAR METAPHYSES,Finding
SMALL EPIPHYSIS OF THE DISTAL PHALANX OF THE 4TH FINGER,Finding
SMALL EPIPHYSIS OF THE 1ST METACARPAL,Finding
SMALL EPIPHYSES OF THE TOES,Finding
"SMALL, IRREGULAR EPIPHYSES",Finding
INTEROSSEUS MUSCLE ATROPHY,Finding
HYPOPLASTIC/SHORT 5TH METACARPAL,Finding
ABSENT TRAPEZOID BONE,Finding
APLASIA/HYPOPLASIA OF THE NAILS,Finding
PERIVENTRICULAR GRAY MATTER HETEROTOPIAS,Finding
PREMATURE CHROMOSOME CONDENSATION,Finding
HYPOPLASIA OF THE BRAINSTEM,Finding
SHOULDER GIRDLE MUSCLE ATROPHY,Finding
ONION BULB FORMATIONS ON SURAL NERVE BIOPSY,Finding
BASAL LAMINA 'ONION BULB' FORMATIONS ON NERVE BIOPSY,Finding
POOR SPEECH,Finding
POSTERIOR PHARYNGEAL CLEFT,Finding
PERIPHERAL PULMONARY STENOSIS,Finding
URINARY XANTHINE STONES,Finding
ENLARGED EPIPHYSES OF THE MIDDLE PHALANGES OF THE HAND,Finding
ENLARGED EPIPHYSES,Finding
ENLARGED EPIPHYSIS OF THE PROXIMAL PHALANX OF THE 4TH FINGER,Finding
ENLARGED EPIPHYSIS OF THE MIDDLE PHALANX OF THE 2ND FINGER,Finding
ENLARGED EPIPHYSIS OF THE PROXIMAL PHALANX OF THE HALLUX,Finding
CALCANEOVALGUS DEFORMITIES,Finding
URETERAL DUPLICATION,Finding
PROMINENT SUPERFICIAL BLOOD VESSELS,Finding
APLASIA/HYPOPLASIA OF THE PHALANGES OF THE HAND,Finding
TETRAAMELIA,Finding
HYPOPLASIA OF THE MAXILLA,Finding
ABSENT STYLOID PROCESSES,Finding
"WIDE, DEFORMED FEMORAL NECK",Finding
HYPOPLASTIC ILIAC BODY,Finding
FLATTENED PROXIMAL RADIAL EPIPHYSES,Finding
PIGMENTED MACULAR DEGENERATION,Finding
RETINAL STRIATION,Finding
RHIZO-MESO-ACROMELIC LIMB SHORTENING,Finding
SEVERE PHOTOSENSITIVITY,Finding
PULMONARY HYPOPLASIA,Finding
"NARES, ANTEVERTED",Finding
LARGE RADIAL EPIPHYSES,Finding
PANHYPOGAMMAGLOBULINEMIA,Finding
MARKED MICROMELIC DWARFISM,Finding
ADVANCED MATURATION/ADVANCED OSSIFICATION OF CARPAL BONES,Finding
HYPOPLASTIC LABIA MINORA,Finding
ABNORMALITY OF THE UMBILICUS,Finding
HYPOPLASIA OF THE RADIUS,Finding
INCREASED RED CELL OSMOTIC FRAGILITY,Finding
THICKENED CALVARIA,Finding
NECK PTERYGIA,Finding
SEVERE ENAMEL DYSPLASIA,Finding
ANTERIOR CHAMBER CLEAVAGE DISORDER,Finding
THIN VERMILLION BORDER,Finding
RECEDING CHIN,Finding
PANCREATIC HYPOPLASIA,Finding
HYPOPLASIA OF THE EPIGLOTTIS,Finding
MICRODONTIA,Finding
DISTAL MUSCLE WEAKNESS,Finding
SEVERE PLATYSPONDYLY,Finding
NEURONAL LOSS IN THE CEREBRAL CORTEX,Finding
HYPERNATREMIC DEHYDRATION,Finding
BROAD DISTAL PHALANX OF THE 2ND FINGER,Finding
BROAD DISTAL PHALANGES OF THE TOES,Finding
HYPOPLASTIC/SHORT 3RD METACARPAL,Finding
ROUND RADIAL EPIPHYSES,Finding
PROXIMAL AMYOTROPHY,Finding
EXERCISE-INDUCED MYALGIA,Finding
SEVERE DENTAL CARIES,Finding
VARIABLE HUMERI HYPOPLASIA,Finding
PARTIAL-TOTAL RETINAL DETACHMENT,Finding
PANCREATIC HYPERPLASIA,Finding
THIN DENTAL ENAMEL,Finding
"HEARING LOSS, SENSORINEURAL, DUE TO AUDITORY NEUROPATHY",Disease or Syndrome
SHORT NECK,Finding
METABOLISM ABNORMALITY,Laboratory or Test Result
MESOMELIC/RHIZOMELIC LIMB SHORTENING,Finding
'CARP-LIKE' MOUTH,Finding
CONTRACTURES OF THE PROXIMAL INTERPHALANGEAL JOINTS OF THE FINGERS,Acquired Abnormality
"THICK, ARCHED EYEBROWS",Finding
JERKY OCULAR PURSUIT MOVEMENTS,Finding
BROAD NOSE,Finding
HYPOPLASTIC PINNAE,Finding
PONTOCEREBELLAR ATROPHY,Finding
DISTAL MUSCLE WEAKNESS,Finding
"SMALL, SHORT NOSE",Finding
ABNORMALITY OF EYE MOVEMENT,Finding
MILD MICROGNATHIA,Finding
PROXIMAL TAPERING OF METACARPALS,Finding
SEVERE SHORT-TRUNKED DWARFISM,Finding
DYSOSTOSIS MULTIPLEX,Finding
SHALLOW ACETABULAR FOSSAE,Finding
BROAD TIBIAL METAPHYSES,Finding
PROGRESSIVE ALVEOLAR RIDGE HYPERTROPY,Finding
THICKENED CALVARIA,Finding
SHORT LONG BONES,Finding
WIDE MIDLINE CLEFT LIP/PALATE,Finding
ABSENT CENTRAL INCISORS,Finding
BILATERAL POSTAXIAL POLYDACTYLY,Congenital Abnormality
PSYCHOMOTOR REGRESSION BEGINNING IN INFANCY,Finding
"LARGE, DYSPLASTIC EARS",Finding
SEVERE CONGENITAL PROPORTIONATE DWARFISM,Finding
ANTERIOR POLAR CATARACT,Acquired Abnormality
"DEFECTIVE, IRREGULAR TARSAL OSSIFICATION",Finding
IRREGULAR TARSAL BONES,Finding
PROGRESSIVE PERIPHERAL NEUROPATHY,Finding
RUDIMENTARY FIBULA,Finding
BROAD FOREHEAD,Finding
"SMALL, WIDELY SPACED TEETH",Finding
WIDELY SPACED TEETH,Finding
"THIN, LONG, POINTED NOSE",Finding
LARGE CAVUM SEPTI PELLUCIDI,Finding
LOW PARATHYROID HORMONE,Finding
ABOLISHED ELECTRORETINOGRAM (ERG),Finding
PSYCHOMOTOR RETARDATION,Finding
LOW PLACENTAL ALKALINE PHOSPHATASE,Finding
HYPERTELORISM,Finding
BROAD HALLUX,Finding
DYSPLASTIC ADRENAL GLANDS,Finding
ABNORMALITY OF THE VAGINA,Finding
PARTIAL/COMPLETE DUPLICATION OF THE PHALANGES OF THE HALLUX,Finding
FLESHY UPTURNED LOBULES,Finding
PROMINENT NASAL TIP,Finding
PEG-SHAPED INCISORS,Finding
BILATERAL SINGLE PALMAR CREASES,Finding
INTERMITTENT CEREBELLAR ATAXIA,Finding
ABSENT SPEECH,Finding
ABSENT SPEECH DEVELOPMENT,Finding
